SKU,Nombre Producto,Categoria,Subcategoria,Cantidad Bodega,Unidad,Costo Unitario CLP,Costo Total Bodega CLP,Precio Lista CLP,Estado,Codigo Proveedor,Observaciones
LT-EMT-036,"TK CAJA PRE-GALVANIZADA A-01
100X65X65MM",Canalización Metálica (EMT/Conduit),Cajas de Paso y Conexión,65,UN,1166.0,=E37*G37,1619.0,Disponible,P05617,
LT-EMT-037,"TK CAJA PRE-GALVANIZADA A-011
100X100X65MM",Canalización Metálica (EMT/Conduit),Cajas de Paso y Conexión,4,UN,1413.0,=E38*G38,1962.0,Disponible,P05618,
LT-EMT-038,TK CAJA PRE-GALVANIZADA B-12 200X100X100MM,Canalización Metálica (EMT/Conduit),Cajas de Paso y Conexión,0,UN,3376.0,=E39*G39,4689.0,Sin Stock,P05619,
LT-EMT-039,TK CAJA PRE-GALVANIZADA B-15 150X150X100MM,Canalización Metálica (EMT/Conduit),Cajas de Paso y Conexión,0,UN,4817.0,=E40*G40,6690.0,Sin Stock,P05620,
LT-EMT-040,TK CAJA PRE-GALVANIZADA B-22 200X200X100MM,Canalización Metálica (EMT/Conduit),Cajas de Paso y Conexión,0,UN,7225.0,=E41*G41,10035.0,Sin Stock,P05621,
LT-EMT-041,TK CAJA PRE-GALVANIZADA B-23 300X200X150MM,Canalización Metálica (EMT/Conduit),Cajas de Paso y Conexión,0,UN,12243.0,=E42*G42,17004.0,Sin Stock,P05622,
LT-BPC-001,GY BANDEJA RANURADA BPCG 100X50X1.2 TIRA 3 MTS GALV,Bandejas Portacables (BPC/Escalerilla),Bandejas y Escalerillas,0,TIRA,22715.0,=E43*G43,31549.0,Sin Stock,P07015,
LT-BPC-002,GY BANDEJA RANURADA BPCG 200X100X1.2 TIRA 3 MTS GALV,Bandejas Portacables (BPC/Escalerilla),Bandejas y Escalerillas,0,TIRA,42360.0,=E44*G44,58833.0,Sin Stock,P07016,
LT-BPC-003,GY CURVA RANURADA BPCG HORIZONTAL CH90 100X50X1.2 R200 GALV,Bandejas Portacables (BPC/Escalerilla),Curvas y Codos,0,UN,7659.0,=E45*G45,10637.0,Sin Stock,P07020,
LT-BPC-004,GY CURVA RANURADA BPCG VERT INT CVI90 100X501.2 R200 GALV,Bandejas Portacables (BPC/Escalerilla),Curvas y Codos,0,UN,6750.0,=E46*G46,9375.0,Sin Stock,P07019,
LT-BPC-005,GY CURVA RANURADA BPCG CT 200X100X1.2 R200 GALV,Bandejas Portacables (BPC/Escalerilla),Curvas y Codos,0,UN,17885.0,=E47*G47,24840.0,Sin Stock,P07025,
LT-BPC-006,GY CURVA RANURADA BPCG HORIZONTAL CH90 200X100X1.2 R200 GALV,Bandejas Portacables (BPC/Escalerilla),Curvas y Codos,0,UN,13148.0,=E48*G48,18261.0,Sin Stock,P07024,
