,,,,,,,,,,,
,,,,,,,Planilla,,,,
,,,,,,,may-25,,,,
,,,,,,,,,,,
,CLIENTE,,,,,,,,,,
,,,,,,,,,,,
,,PRODUCTOS,CANTIDAD,TIPO,COSTO,TOTAL,PROVEEDOR,,,,
,,GY CURVA RANURADA BPCG HORIZONTAL CH90 100X50X1.2 R200 GALV,,UN,"$9,574",$0,,,,,
,,GY CURVA RANURADA BPCG VERT INT CVI90 100X501.2 R200 GALV,,UN,"$8,438",$0,,,,,
,,GY CURVA RANURADA BPCG CT 200X100X1.2 R200 GALV,,UN,"$22,356",$0,,,,,
,,GY CURVA RANURADA BPCG HORIZONTAL CH90 200X100X1.2 R200 GALV,,UN,"$16,435",$0,,,,,
,,GY CURVA RANURADA BPCG VERT EXT CVE90 100X50X1.2 R200 GALV,,UN,"$8,438",$0,,,,,
,,GY CURVA RANURADA BPCG VERT EXT CVE90 200X100X1.2 R200 GALV,,UN,"$15,528",$0,,,,,
,,GY CURVA RANURADA BPCG VERT INT CVI90 200X100X1.2 R200 GALV,,UN,"$14,685",$0,,,,,
,,GY CURVA RANURADA BPCG CT 100X50X1.2 R200 GALV,,UN,"$21,653",$0,,,,,
,,GY ESCALERILLA EPCG 300X100X2.0 TIRA 3 MTS GALV,,tira,"$71,065",$0,,,,,
,,GY TAPA BPCG EPCG 200X15X1.2 TIRA 3MTS GALV,,tira,"$28,654",$0,,,,,
,,GY TAPA BPCG EPCG 300X15X1.2 TIRA 3 MTS GALV,,tira,"$42,261",$0,,,,,
,,GY ESCALERILLA EPCG 200X100X2.0 TIRA 3 MTS GALV,,tira,"$68,113",$0,,,,,
,,GY TAPA BPCG EPCG 100X15X1.2 TIRA 3 MTS GALV,,tira,"$23,660",$0,,,,,
,,,,,,$0,,,,,
,,SOPORTE ESTRIBO 100*50 ZN.,,UN,"$1,351",$0,,,,,
,,HILO 3/8*3000 ZN.,,mts,"$7,810",$0,,,,,
,,TUERCA HEX. 3/8 ZN.,,UN,$100,$0,,,,,
,,GOLILLA PLANA 3/8 ZN.,,UN,$150,$0,,,,,
,,PERNO COCHE 1/4*5/8 ZN.,,UN,$40,$0,,,,,
,,TUERCA HEX. 1/4 ZN.,,UN,$150,$0,,,,,
