SKU,Nombre Producto,Categoria,Subcategoria,Cantidad Bodega,Unidad,Costo Unitario CLP,Costo Total Bodega CLP,Precio Lista CLP,Estado,Codigo Proveedor,Observaciones
LT-EMT-039,TK CAJA PRE-GALVANIZADA B-15 150X150X100MM,Canalización Metálica (EMT/Conduit),Cajas de Paso y Conexión,0,UN,4817,0,6690,Sin Stock,P05620,
LT-EMT-040,TK CAJA PRE-GALVANIZADA B-22 200X200X100MM,Canalización Metálica (EMT/Conduit),Cajas de Paso y Conexión,0,UN,7225,0,10035,Sin Stock,P05621,
LT-EMT-041,TK CAJA PRE-GALVANIZADA B-23 300X200X150MM,Canalización Metálica (EMT/Conduit),Cajas de Paso y Conexión,0,UN,12243,0,17004,Sin Stock,P05622,
LT-BPC-001,GY BANDEJA RANURADA BPCG 100X50X1.2 TIRA 3 MTS GALV,Bandejas Portacables (BPC/Escalerilla),Bandejas y Escalerillas,0,TIRA,22715,0,31549,Sin Stock,P07015,
LT-BPC-002,GY BANDEJA RANURADA BPCG 200X100X1.2 TIRA 3 MTS GALV,Bandejas Portacables (BPC/Escalerilla),Bandejas y Escalerillas,0,TIRA,42360,0,58833,Sin Stock,P07016,
LT-BPC-003,GY CURVA RANURADA BPCG HORIZONTAL CH90 100X50X1.2 R200 GALV,Bandejas Portacables (BPC/Escalerilla),Curvas y Codos,0,UN,7659,0,10637,Sin Stock,P07020,
LT-BPC-004,GY CURVA RANURADA BPCG VERT INT CVI90 100X501.2 R200 GALV,Bandejas Portacables (BPC/Escalerilla),Curvas y Codos,0,UN,6750,0,9375,Sin Stock,P07019,
LT-BPC-005,GY CURVA RANURADA BPCG CT 200X100X1.2 R200 GALV,Bandejas Portacables (BPC/Escalerilla),Curvas y Codos,0,UN,17885,0,24840,Sin Stock,P07025,
LT-BPC-006,GY CURVA RANURADA BPCG HORIZONTAL CH90 200X100X1.2 R200 GALV,Bandejas Portacables (BPC/Escalerilla),Curvas y Codos,0,UN,13148,0,18261,Sin Stock,P07024,
LT-BPC-007,GY CURVA RANURADA BPCG VERT EXT CVE90 100X50X1.2 R200 GALV,Bandejas Portacables (BPC/Escalerilla),Curvas y Codos,0,UN,6750,0,9375,Sin Stock,P07018,
LT-BPC-008,GY CURVA RANURADA BPCG VERT EXT CVE90 200X100X1.2 R200 GALV,Bandejas Portacables (BPC/Escalerilla),Curvas y Codos,0,UN,12422,0,17253,Sin Stock,P07022,
LT-BPC-009,GY CURVA RANURADA BPCG VERT INT CVI90 200X100X1.2 R200 GALV,Bandejas Portacables (BPC/Escalerilla),Curvas y Codos,0,UN,11748,0,16316,Sin Stock,P07023,
LT-BPC-010,GY CURVA RANURADA BPCG CT 100X50X1.2 R200 GALV,Bandejas Portacables (BPC/Escalerilla),Curvas y Codos,0,UN,17322,0,24058,Sin Stock,P07021,
LT-BPC-011,GY ESCALERILLA EPCG 300X100X2.0 TIRA 3 MTS GALV,Bandejas Portacables (BPC/Escalerilla),Bandejas y Escalerillas,0,TIRA,56852,0,78961,Sin Stock,P07001,
LT-BPC-012,GY TAPA BPCG EPCG 200X15X1.2 TIRA 3MTS GALV,Bandejas Portacables (BPC/Escalerilla),Accesorios y Varios,0,TIRA,22923,0,31838,Sin Stock,P07004,
LT-BPC-013,GY TAPA BPCG EPCG 300X15X1.2 TIRA 3 MTS GALV,Bandejas Portacables (BPC/Escalerilla),Accesorios y Varios,0,TIRA,33809,0,46957,Sin Stock,P07005,
LT-BPC-014,GY ESCALERILLA EPCG 200X100X2.0 TIRA 3 MTS GALV,Bandejas Portacables (BPC/Escalerilla),Bandejas y Escalerillas,0,TIRA,54490,0,75680,Sin Stock,P07000,
LT-BPC-015,GY TAPA BPCG EPCG 100X15X1.2 TIRA 3 MTS GALV,Bandejas Portacables (BPC/Escalerilla),Accesorios y Varios,0,TIRA,18928,0,26289,Sin Stock,P07003,
LT-BPC-016,SOPORTE ESTRIBO 100*50 ZN.,Bandejas Portacables (BPC/Escalerilla),Accesorios y Varios,0,UN,0,0,0,Sin Stock,,
LT-BPC-017,HILO 3/8*3000 ZN.,Bandejas Portacables (BPC/Escalerilla),Accesorios y Varios,0,MTS,0,0,0,Sin Stock,,
LT-BPC-018,TUERCA HEX. 3/8 ZN.,Bandejas Portacables (BPC/Escalerilla),"Pernos, Tornillos y Tarugos",0,UN,0,0,0,Sin Stock,,
LT-BPC-019,GOLILLA PLANA 3/8 ZN.,Bandejas Portacables (BPC/Escalerilla),"Pernos, Tornillos y Tarugos",0,UN,0,0,0,Sin Stock,,
LT-BPC-020,PERNO COCHE 1/4*5/8 ZN.,Bandejas Portacables (BPC/Escalerilla),"Pernos, Tornillos y Tarugos",0,UN,0,0,0,Sin Stock,,
LT-BPC-021,TUERCA HEX. 1/4 ZN.,Bandejas Portacables (BPC/Escalerilla),"Pernos, Tornillos y Tarugos",0,UN,145,0,202,Sin Stock,P06600,
LT-BPC-022,RIEL 42*42*1.9*3000 ZN.,Bandejas Portacables (BPC/Escalerilla),Accesorios y Varios,0,UN,0,0,0,Sin Stock,,
LT-BPC-023,TUERCA R/42 3/8 C/RESORTE ZN.,Bandejas Portacables (BPC/Escalerilla),"Pernos, Tornillos y Tarugos",0,MTS,0,0,0,Sin Stock,,
LT-BPC-024,Cablofil Bandeja rejilla 200x65X3000mm,Bandejas Portacables (BPC/Escalerilla),Bandejas y Escalerillas,0,TIRA,0,0,0,Sin Stock,,
LT-BPC-025,Varilla roscada M10X3000,Bandejas Portacables (BPC/Escalerilla),Accesorios y Varios,0,TIRA,0,0,0,Sin Stock,,
LT-BPC-026,Unión rapida Altura 50 y 100mm - zincada,Bandejas Portacables (BPC/Escalerilla),Accesorios y Varios,146,UN,0,0,0,Disponible,,
LT-BPC-027,Unión grapa con perno,Bandejas Portacables (BPC/Escalerilla),"Pernos, Tornillos y Tarugos",0,UN,0,0,0,Sin Stock,,
LT-BPC-028,Soporte puente 3000mm,Bandejas Portacables (BPC/Escalerilla),Accesorios y Varios,0,TIRA,0,0,0,Sin Stock,,
LT-BPC-029,CURVAS CABLO FIL,Bandejas Portacables (BPC/Escalerilla),Curvas y Codos,0,UN,0,0,0,Sin Stock,,
LT-BPC-030,ACCESORIOS VARIOS,Bandejas Portacables (BPC/Escalerilla),Accesorios y Varios,0,UN,0,0,0,Sin Stock,,
LT-BPC-031,PVC 16 MM X 3 MTS,Bandejas Portacables (BPC/Escalerilla),Tuberías y Conductos,0,TIRA,577,0,802,Sin Stock,P04431,
LT-BPC-032,SALIDA DE CAJA CONDUIT PVC 16MM,Bandejas Portacables (BPC/Escalerilla),Tuberías y Conductos,0,UN,45,0,62,Sin Stock,P04460,
LT-BPC-033,CURVA 90° CONDUIT PVC 16MM,Bandejas Portacables (BPC/Escalerilla),Tuberías y Conductos,3,UN,135,405,188,Disponible,P04442,
LT-BPC-034,ABRAZADERAS OMEGA 16MM,Bandejas Portacables (BPC/Escalerilla),Abrazaderas y Fijación de Tubos,0,UN,29,0,40,Sin Stock,P04660,
LT-PVC-001,PVC 20 MM X 3 MTS,Canalización PVC y Accesorios,Tuberías y Conductos,0,TIRA,577,0,802,Sin Stock,P04431,
LT-PVC-002,SALIDA DE CAJA CONDUIT PVC 20MM,Canalización PVC y Accesorios,Tuberías y Conductos,14,UN,60,840,84,Disponible,P04461,
LT-PVC-003,CURVA 90° CONDUIT PVC 20MM,Canalización PVC y Accesorios,Tuberías y Conductos,1,UN,167,167,232,Disponible,P04443,
LT-PVC-004,ABRAZADERAS OMEGA 20MM,Canalización PVC y Accesorios,Abrazaderas y Fijación de Tubos,40,UN,57,2280,0.09,Disponible,P04661,
LT-PVC-005,PVC 20 MM X 3 MTS LZSH,Canalización PVC y Accesorios,Tuberías y Conductos,0,UN,577,0,802,Sin Stock,P04431,
LT-PVC-006,SALIDA DE CAJA CONDUIT PVC 20MM LZSH,Canalización PVC y Accesorios,Tuberías y Conductos,7,UN,60,420,84,Disponible,P04461,
LT-PVC-007,CURVA 90° CONDUIT PVC 20MM LZSH,Canalización PVC y Accesorios,Tuberías y Conductos,3,UN,167,501,232,Disponible,P04443,
LT-PVC-008,ABRAZADERAS CADDY  20MM LZSH,Canalización PVC y Accesorios,Abrazaderas y Fijación de Tubos,0,UN,207,0,0.3,Sin Stock,P05565,
LT-PVC-009,COPLA 20 MM LZSH,Canalización PVC y Accesorios,Coplas y Uniones,2,UN,0,0,0,Disponible,,
LT-PVC-010,PVC 25 MM X 3 MTS,Canalización PVC y Accesorios,Tuberías y Conductos,0,TIRA,577,0,802,Sin Stock,P04431,
LT-PVC-011,TERMINAL PVC 25MM,Canalización PVC y Accesorios,Tuberías y Conductos,24,UN,349,8376,485,Disponible,P05562,
LT-PVC-012,CODO PVC 25 MM,Canalización PVC y Accesorios,Tuberías y Conductos,23,UN,0,0,0,Disponible,,
LT-PVC-013,ABRAZADERAS OMEGA 25MM,Canalización PVC y Accesorios,Abrazaderas y Fijación de Tubos,42,UN,75,3150,0.11,Disponible,P04662,
LT-PVC-014,PVC 25 MM X 3 MTS LZSH,Canalización PVC y Accesorios,Tuberías y Conductos,0,UN,577,0,802,Sin Stock,P04431,
